TMAX_C,TMIN_C,PRCP_mm,WIND_m_s,SUN_sec,date,SUN_min,Bee_Activity
18.6,10.2,0.0,4.4,21825.65,2026-09-13,363.7608333333334,Moderate
17.6,9.1,6.53,7.58,5649.68,2026-09-14,94.16133333333333,Poor
23.5,15.6,69.85,6.38,23819.36,2026-09-15,396.9893333333333,Moderate
20.4,12.9,0.0,3.83,28204.67,2026-09-16,470.07783333333333,Moderate
22.6,11.6,0.0,3.26,43207.09,2026-09-17,720.1181666666666,Optimal
22.0,9.3,3.4,5.0,32770.32,2026-09-18,546.172,Moderate
19.5,14.5,32.9,6.59,20967.49,2026-09-19,349.45816666666667,Poor
